__v,_id,createdAt,desc,genre_id,is_active,name,updatedAt,number
0,62c49d843eacb940b8550f5f,2022-07-05T20:22:28.172Z,Mutton Karahi Traditional prepared in Olive Oil,62c49c093eacb940b8550f1b,TRUE,Mutton Karahi Traditional,2022-07-24T14:53:57.461Z,1
0,62c49d983eacb940b8550f62,2022-07-05T20:22:48.221Z,Mutton Black Pepper Karahi prepared in Olive Oil,62c49c093eacb940b8550f1b,TRUE,Mutton Black Pepper Karahi,2022-07-24T14:53:56.595Z,2
0,62c49de23eacb940b8550f74,2022-07-05T20:24:02.733Z,Mutton White Pepper Karahi prepared in Olive Oil,62c49c093eacb940b8550f1b,TRUE,Mutton White Pepper Karahi,2022-07-24T14:50:59.485Z,3
0,62c49df33eacb940b8550f77,2022-07-05T20:24:19.102Z,Mutton White Karahi prepared in Olive Oil,62c49c093eacb940b8550f1b,TRUE,Mutton White Karahi,2022-07-05T20:25:26.631Z,4
0,62c49e073eacb940b8550f7a,2022-07-05T20:24:39.083Z,Mutton Badami Karahi prepared in Olive Oil,62c49c093eacb940b8550f1b,TRUE,Mutton Badami Karahi,2022-07-24T14:53:55.408Z,5
0,62c49e6b3eacb940b8550f93,2022-07-05T20:26:19.120Z,Beef Karahi Traditional,62c49dbd3eacb940b8550f6a,TRUE,Beef Karahi Traditional,2022-07-05T20:27:25.902Z,6
0,62c49e7d3eacb940b8550f96,2022-07-05T20:26:37.584Z,Beef Black Pepper Karahi,62c49dbd3eacb940b8550f6a,TRUE,Beef Black Pepper Karahi,2022-07-05T20:27:16.348Z,7
0,62c49ebf3eacb940b8550fa8,2022-07-05T20:27:43.821Z,Beef White Pepper Karahi,62c49dbd3eacb940b8550f6a,TRUE,Beef White Pepper Karahi,2022-07-05T20:27:43.821Z,8
0,62c49ed03eacb940b8550fab,2022-07-05T20:28:00.060Z,Beef Achari Karahi,62c49dbd3eacb940b8550f6a,TRUE,Beef Achari Karahi,2022-07-05T20:38:52.603Z,9
0,62c49ee23eacb940b8550fae,2022-07-05T20:28:18.798Z,Beef White Karahi,62c49dbd3eacb940b8550f6a,TRUE,Beef White Karahi,2022-07-05T20:28:18.798Z,10
0,62c49ef83eacb940b8550fb1,2022-07-05T20:28:40.252Z,Beef Badami Karahi,62c49dbd3eacb940b8550f6a,TRUE,Beef Badami Karahi,2022-07-05T20:28:40.252Z,11
0,62c49f133eacb940b8550fb4,2022-07-05T20:29:07.583Z,Chicken Karahi Traditional ,62c49dc53eacb940b8550f6d,TRUE,Chicken Karahi Traditional ,2022-07-05T20:29:07.583Z,12
0,62c49f253eacb940b8550fb7,2022-07-05T20:29:25.258Z,Chicken Black Pepper Karahi,62c49dc53eacb940b8550f6d,TRUE,Chicken Black Pepper Karahi,2022-07-05T20:29:25.258Z,13
0,62c49f323eacb940b8550fba,2022-07-05T20:29:38.717Z,Chicken White Pepper Karahi,62c49dc53eacb940b8550f6d,TRUE,Chicken White Pepper Karahi,2022-07-05T20:29:38.717Z,14
0,62c49f423eacb940b8550fbd,2022-07-05T20:29:54.626Z,Chicken Achari,62c49dc53eacb940b8550f6d,TRUE,Chicken Achari,2022-07-05T20:29:54.626Z,15
